"","run_id","complexity","trial","response","musical_expertise"
"1",3,"low","1","40","4"
"2",3,"low","2","10","4"
"3",3,"medium","2","100","4"
"4",3,"high","2","100","4"
"5",3,"medium","1","66","4"
"6",3,"high","1","100","4"
"7",7,"medium","1","52","0"
"8",7,"low","2","38","0"
"9",7,"low","1","55","0"
"10",7,"high","2","54","0"
"11",7,"medium","2","55","0"
"12",7,"high","1","42","0"
"13",8,"low","2","0","3"
"14",8,"low","1","82","3"
"15",8,"high","1","15","3"
"16",8,"medium","2","100","3"
"17",8,"high","2","0","3"
"18",8,"medium","1","100","3"
"19",9,"high","1","91","1"
"20",9,"medium","2","92","1"
"21",9,"low","2","61","1"
"22",9,"medium","1","75","1"
"23",9,"high","2","78","1"
"24",9,"low","1","85","1"
"25",14,"low","1","1","3"
"26",14,"high","1","30","3"
"27",14,"medium","1","35","3"
"28",14,"low","2","12","3"
"29",14,"high","2","52","3"
"30",14,"medium","2","52","3"
"31",15,"low","1","60","2"
"32",15,"high","2","72","2"
"33",15,"low","2","58","2"
"34",15,"medium","2","87","2"
"35",15,"high","1","71","2"
"36",15,"medium","1","90","2"
"37",18,"medium","2","85","1"
"38",18,"medium","1","83","1"
"39",18,"low","2","48","1"
"40",18,"low","1","61","1"
"41",18,"high","1","40","1"
"42",18,"high","2","38","1"
"43",19,"high","1","79","1"
"44",19,"high","2","87","1"
"45",19,"medium","2","99","1"
"46",19,"low","2","97","1"
"47",19,"low","1","65","1"
"48",19,"medium","1","98","1"
